sf,tair,pn
0.587,12.905,9.14
0.587,12.308,9.892
0.587,11.736,6.123
0.587,11.72,0.231
0.425,14.257,0
0.425,14.949,0
0.425,16.016,0
0.425,15.919,0
0.425,14.555,0
0.425,14.303,0
0.425,14.722,0
0.425,14.779,0
0.425,11.382,1.078
0.425,9.626,1.581
0.425,9.219,0
0.425,9.456,0
0.425,8.609,5.509
0.425,8.971,1.304
0.425,9.427,0.481
0.425,9.895,1.401
0.425,9.575,0
0.425,10.247,0
0.425,10.67,0
0.425,10.012,0
0.425,10.551,3.916
0.425,10.105,0
0.425,10.235,0
0.425,11.794,0
0.425,11.682,0
0.425,11.596,0.241
0.425,12.203,0.251
0.425,12.38,0
0.425,12.635,9.766
0.425,11.216,0
0.4,10.505,0
0.4,10.338,0
0.4,11.002,0
0.4,12.041,0
0.4,12.361,0
0.4,12.268,0
0.4,12.887,2.136
0.4,12.749,0.331
0.4,12.386,0.135
0.4,12.297,0
0.4,10.911,1.659
0.4,10.495,2.448
0.4,10.66,2.829
0.4,11.966,2.852
0.4,12.504,1.791
0.4,11.982,0
0.4,12.56,0
0.4,10.766,0
0.4,11.863,0
0.4,11.772,0
0.4,11.416,2.32
0.4,11.278,0.4
0.4,9.844,0
0.4,10.244,0.284
0.4,9.788,0
0.4,9.324,0
0.4,10.537,0
0.4,9.845,0
0.4,9.371,0
0.4,8.655,0
0.4,9.47,0
